utility,measure_date,viral_conc_raw,sample_id,sitename_id,lab_id,county_names,population_served,sample_type,quality_flag,pcr_target_below_lod,ND_flag,flow_rate,pcr_target,trend,detection_status,slope,percentile_lvl,sig,lab_phase
Utility1,2023-09-01,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-02,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-03,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-04,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-05,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-06,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-07,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-08,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-09,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-10,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-11,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-12,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-13,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-14,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-15,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-16,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-17,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-18,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
Utility1,2023-09-19,0,NA,UA,CDPHE,County1,18838,NA,NA,NA,NA,NA,FLUAV,NA,NA,NA,NA,NA,NA
