utility,pcr_target,measure_date,viral_conc_raw_LP1,viral_conc_raw_LP2,viral_conc_raw_LP3,lab_phase
Utility1,FLUAV,2024-09-30,NA,NA,1305364,Lab Phase 3
Utility1,FLUAV,2024-10-03,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-10-14,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-10-17,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-10-21,NA,NA,1255967,Lab Phase 3
Utility1,FLUAV,2024-10-24,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-10-28,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-10-31,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-04,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-07,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-12,NA,NA,1181210,Lab Phase 3
Utility1,FLUAV,2024-11-14,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-18,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-21,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-11-25,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-12-02,NA,NA,6135037,Lab Phase 3
Utility1,FLUAV,2024-12-05,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-12-09,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-12-12,NA,NA,788017,Lab Phase 3
Utility1,FLUAV,2024-12-16,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2024-12-19,NA,NA,6331378,Lab Phase 3
Utility1,FLUAV,2024-12-26,NA,NA,6284538,Lab Phase 3
Utility1,FLUAV,2024-12-30,NA,NA,61835,Lab Phase 3
Utility1,FLUAV,2025-01-02,NA,NA,1992768,Lab Phase 3
Utility1,FLUAV,2025-01-06,NA,NA,996732,Lab Phase 3
Utility1,FLUAV,2025-01-09,NA,NA,4085581,Lab Phase 3
Utility1,FLUAV,2025-01-13,NA,NA,4621779,Lab Phase 3
Utility1,FLUAV,2025-01-16,NA,NA,7413165,Lab Phase 3
Utility1,FLUAV,2025-01-21,NA,NA,6117292,Lab Phase 3
Utility1,FLUAV,2025-01-23,NA,NA,831337,Lab Phase 3
Utility1,FLUAV,2025-01-27,NA,NA,5603161,Lab Phase 3
Utility1,FLUAV,2025-01-30,NA,NA,25707,Lab Phase 3
Utility1,FLUAV,2025-02-06,NA,NA,1726164,Lab Phase 3
Utility1,FLUAV,2025-02-10,NA,NA,1479978,Lab Phase 3
Utility1,FLUAV,2025-02-13,NA,NA,5807295,Lab Phase 3
Utility1,FLUAV,2025-02-18,NA,NA,4406600,Lab Phase 3
Utility1,FLUAV,2025-02-20,NA,NA,6389531,Lab Phase 3
Utility1,FLUAV,2025-02-24,NA,NA,3540151,Lab Phase 3
Utility1,FLUAV,2025-02-27,NA,NA,1855702,Lab Phase 3
Utility1,FLUAV,2025-03-03,NA,NA,6387679,Lab Phase 3
Utility1,FLUAV,2025-03-06,NA,NA,1349079,Lab Phase 3
Utility1,FLUAV,2025-03-10,NA,NA,2818594,Lab Phase 3
Utility1,FLUAV,2025-03-13,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-03-17,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-03-20,NA,NA,4612978,Lab Phase 3
Utility1,FLUAV,2025-03-24,NA,NA,2663895,Lab Phase 3
Utility1,FLUAV,2025-03-27,NA,NA,891056,Lab Phase 3
Utility1,FLUAV,2025-03-31,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-03,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-07,NA,NA,5635873,Lab Phase 3
Utility1,FLUAV,2025-04-10,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-14,NA,NA,4957647,Lab Phase 3
Utility1,FLUAV,2025-04-17,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-21,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-24,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-04-28,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-01,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-05,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-08,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-12,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-15,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-19,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-22,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-27,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-05-29,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-02,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-05,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-09,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-12,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-16,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-23,NA,NA,600,Lab Phase 3
Utility1,FLUAV,2025-06-26,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-09-30,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-03,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-14,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-17,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-21,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-24,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-28,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-10-31,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-04,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-07,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-12,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-14,NA,NA,600,Lab Phase 3
