measure_date,sars,trend,utility
2024-06-27,4.766226893574169,6.0546974786485315,Utility2
2024-07-01,5.81799350370225,6.085147718412394,Utility2
2024-07-08,2.7781512503836434,6.121357105490421,Utility2
2024-07-11,6.34853129929086,6.1598348052573355,Utility2
2024-07-15,6.342215551931636,6.190074242099292,Utility2
2024-07-18,6.001550266839269,6.2092709846445855,Utility2
2024-07-22,5.795174845786664,6.235705832005189,Utility2
2024-07-25,6.346986542904603,6.269722020109411,Utility2
2024-07-29,6.078518441445662,6.30127513431308,Utility2
2024-08-01,6.637797029211067,6.337834828904556,Utility2
2024-08-05,6.743117075971147,6.365989189190205,Utility2
2024-08-08,6.709213719591862,6.382439057092538,Utility2
2024-08-12,6.648777026190544,6.389708173443214,Utility2
2024-08-15,4.340840549812332,6.388085427184452,Utility2
2024-08-19,5.844885183564034,6.389476406675198,Utility2
2024-08-22,6.671702100079254,6.39590598056696,Utility2
2024-08-26,5.566208793917814,6.392218209210044,Utility2
2024-08-29,6.205696592168582,6.395184329948677,Utility2
2024-09-03,6.3717431730949246,6.406159232084538,Utility2
2024-09-09,6.585329406077066,6.419340339715865,Utility2
2024-09-12,6.477644264520198,6.4245335318760866,Utility2
2024-09-16,5.97049053233423,6.427884429049742,Utility2
2024-09-23,6.7848730873373775,6.43974815910654,Utility2
2024-09-26,6.647243758379893,6.439055698636816,Utility2
2024-09-30,6.088009504434079,6.4357993469691674,Utility2
2024-10-03,6.644082735856042,6.440627358593168,Utility2
2024-10-08,6.720899206898214,6.437167260373169,Utility2
2024-10-10,5.794601659406385,6.426958464250344,Utility2
2024-10-14,5.750972525578949,6.419694547735042,Utility2
2024-10-17,6.492098948036393,6.422770367695356,Utility2
2024-10-21,6.389088613500664,6.421053482019579,Utility2
2024-10-24,2.7781512503836434,6.42081002140141,Utility2
2024-10-28,6.670415547397211,6.423551996145357,Utility2
2024-10-31,6.152344003911787,6.41582276329648,Utility2
2024-11-04,5.979349846741304,6.4176449963249995,Utility2
2024-11-07,6.522443059735863,6.429097337115566,Utility2
2024-11-12,6.193155777351879,6.433264363478247,Utility2
2024-11-14,6.259421130061275,6.44394409011359,Utility2
2024-11-18,6.7578083368459225,6.4668467737033195,Utility2
2024-11-21,2.7781512503836434,6.4797084086807075,Utility2
2024-11-25,6.419059649593285,6.493892155626904,Utility2
2024-12-02,6.726275242483188,6.51294776669892,Utility2
2024-12-05,6.723452059740918,6.522924880597651,Utility2
2024-12-09,6.711877047861929,6.526586770108954,Utility2
2024-12-12,6.707518568628641,6.522409480263092,Utility2
2024-12-16,2.7781512503836434,6.510271959487589,Utility2
2024-12-19,6.39085353682128,6.500101767308169,Utility2
2024-12-26,6.416635515418995,6.494310734176087,Utility2
2024-12-30,6.80218377857071,6.491507107256229,Utility2
2025-01-02,6.637430685465803,6.483884014231967,Utility2
2025-01-06,6.116784679621818,6.469307165362511,Utility2
