utility,measure_date,sars,new_cases_utility,new_hosp_utility,county_names,population_served,capacity_mgd,lpha1,lpha2,lpha3,pcr_target,activation_start,activation_end,public_repository,Surv_System,participation_status,classification,slope,p_val
Utility1,2024-06-27,7105453,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,NA,NA,NA
Utility1,2024-07-01,3892158,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,NA,-0.01054531028319149,NA
Utility1,2024-07-08,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.010669752345775286,0.004286726673895669
Utility1,2024-07-11,1025624,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00952468288408763,0.004794396724446793
Utility1,2024-07-15,3740888,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.007697821225058015,0.006337280509162229
Utility1,2024-07-18,5203902,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.005592242166062713,0.016996365982700243
Utility1,2024-07-29,6432764,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0017658945476815206,0.15502281164436235
Utility1,2024-08-01,1574739,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.004008586011982496,0.15115779013053418
Utility1,2024-08-05,3075596,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00662047863770316,0.038310337128989874
Utility1,2024-08-08,5550363,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.0066984511389925625,0.035263339274586435
Utility1,2024-08-12,3846328,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.004996343203964636,0.07385149908381863
Utility1,2024-08-15,3912606,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.004927667562511604,0.015299807756225985
Utility1,2024-08-19,4882987,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.005464494086327111,0.0018548141924413302
Utility1,2024-08-22,1523311,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.006254893720838548,0.004203978431596298
Utility1,2024-08-26,2123655,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.008072852847617716,9.99479464331806e-4
Utility1,2024-08-29,4719485,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.008532213578163915,3.0010775835802414e-4
Utility1,2024-09-03,2342599,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.007518074479106727,0.007258892070046523
Utility1,2024-09-09,2014306,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.004674802970044762,0.03463311944120694
Utility1,2024-09-12,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,2.0206877444814162e-4,0.9048094194895693
Utility1,2024-09-16,3721322,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.004533151874188313,0.09590463088472462
Utility1,2024-09-23,4288204,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.011717662037875854,0.003742275355404372
Utility1,2024-09-26,3688552,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.012537963129099506,9.41632820166529e-4
Utility1,2024-09-30,5646713,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.012001842981787669,6.600376729243362e-5
Utility1,2024-10-03,5758746,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.009390759266311149,0.0016626489956809904
Utility1,2024-10-14,4134539,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.002990166569973355,0.2633046840997356
