Utility,county,pcr_target,Date,SARS-2 Copies/L (uncorrected),pcr_target_cl_95_lo,pcr_target_cl_95_up,sample_id,quality_flag,flow_rate,sample_type,lab_phase,pcr_target_below_lod,reporting_jurisdiction,wwtp_jurisdiction,sewershed_name_in_case_linelist,sewershed_name_in_spatial_file,upstream_location_specify_nwss_dcipher
Utility1,08001,sars-cov-2,2021-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2021-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
