"","utility","measure_date","level","slope","p_val","level_tile","level_scale","population_served","capacity_mgd","flow_rate","sample_type","population_served_flow","sig"
"1","Utility2",2024-07-01,6.04107377051569,0.0430466225158927,NA,0,-3.80019998826407,89838,14.32,NA,"",NA,"Not Significant"
"2","Utility2",2024-07-08,6.09114744449969,0.0465601482499441,0.0277187547973385,0.00869565217391304,-3.35083838138091,89838,14.32,NA,"",NA,"Significant"
"3","Utility2",2024-07-11,6.14380954508936,0.048742086525268,0.00101283392790156,0.0173913043478261,-2.87824821053827,89838,14.32,NA,"",NA,"Significant"
"4","Utility2",2024-07-15,6.17500406228235,0.0456689603138771,0.000180622287512631,0.0260869565217391,-2.59830832882986,89838,14.32,NA,"",NA,"Significant"
"5","Utility2",2024-07-18,6.19166637807139,0.0406471178927886,0.000215356291499571,0.0347826086956522,-2.44878055501904,89838,14.32,NA,"",NA,"Significant"
"6","Utility2",2024-07-22,6.22202306631385,0.0353570799113965,0.000508364263042811,0.0434782608695652,-2.17635935795163,89838,14.32,NA,"",NA,"Significant"
"7","Utility2",2024-07-25,6.27221674578252,0.0330471253107606,0.000228369966082465,0.0521739130434783,-1.72592082075493,89838,14.32,NA,"",NA,"Significant"
"8","Utility2",2024-07-29,6.3121565747194,0.0345307427170334,1.32523121746094e-05,0.0608695652173913,-1.36750043172077,89838,14.32,NA,"",NA,"Significant"
"9","Utility2",2024-08-01,6.36605162727184,0.0364850585404514,3.74726396125894e-05,0.0695652173913043,-0.883845738722719,89838,14.32,NA,"",NA,"Significant"
"10","Utility2",2024-08-05,6.40585513466356,0.0404091865696452,1.22048549429706e-05,0.147826086956522,-0.526648700477715,89838,14.32,NA,"",NA,"Significant"
"11","Utility2",2024-08-08,6.42287847633519,0.0412548326064327,4.06842488511038e-06,0.278260869565217,-0.37388107710484,89838,14.32,NA,"",NA,"Significant"
"12","Utility2",2024-08-12,6.42276932755127,0.0356164573129195,0.000293885560296263,0.269565217391304,-0.374860579286907,89838,14.32,NA,"",NA,"Significant"
"13","Utility2",2024-08-15,6.40929049887676,0.0246169147860655,0.00675644859807217,0.173913043478261,-0.49581971070622,89838,14.32,NA,"",NA,"Significant"
"14","Utility2",2024-08-19,6.3993938580293,0.0130394209295452,0.0748769006533917,0.121739130434783,-0.584632255904783,89838,14.32,NA,"",NA,"Not Significant"
"15","Utility2",2024-08-22,6.40586542817477,0.00331895971363803,0.408240113036203,0.156521739130435,-0.526556326414244,89838,14.32,NA,"",NA,"Not Significant"
"16","Utility2",2024-08-26,6.39281044152884,-0.00344770161596278,0.10352831557316,0.0869565217391304,-0.643711895604748,89838,14.32,NA,"",NA,"Not Significant"
"17","Utility2",2024-08-29,6.39157128910057,-0.00561658587323852,0.00170790440451596,0.0782608695652174,-0.654832060794043,89838,14.32,NA,"",NA,"Significant"
"18","Utility2",2024-09-03,6.40569111258829,-0.00155770356784155,0.438765514213591,0.139130434782609,-0.528120636076628,89838,14.32,NA,"",NA,"Not Significant"
"19","Utility2",2024-09-09,6.42719978607481,0.00392192974399546,0.243325688357431,0.28695652173913,-0.335101604101611,89838,14.32,NA,"",NA,"Not Significant"
"20","Utility2",2024-09-12,6.42980661565633,0.00677125127238284,0.0727968569945821,0.304347826086957,-0.31170789166904,89838,14.32,NA,"",NA,"Not Significant"
"21","Utility2",2024-09-16,6.43349903449792,0.00970450337140468,0.00358433500890055,0.321739130434783,-0.278572091318703,89838,14.32,NA,"",NA,"Significant"
"22","Utility2",2024-09-23,6.45573559805312,0.0106388219352769,0.0161654726767923,0.48695652173913,-0.0790209672306406,89838,14.32,NA,"",NA,"Significant"
"23","Utility2",2024-09-26,6.4592051734223,0.008993975709179,0.0186163106341131,0.495652173913044,-0.0478849662334727,89838,14.32,NA,"",NA,"Significant"
"24","Utility2",2024-09-30,6.44788757973015,0.0061106058608522,0.0430484266500614,0.434782608695652,-0.149449155215934,89838,14.32,11.29,"24-hr flow-weighted composite",161285.714285714,"Significant"
"25","Utility2",2024-10-03,6.45409162126806,0.0048017211178437,0.098346404450991,0.478260869565217,-0.0937740298888476,89838,14.32,11.75,"24-hr flow-weighted composite",167857.142857143,"Not Significant"
"26","Utility2",2024-10-08,6.44784311857683,-0.00208985111068279,0.224302074562985,0.426086956521739,-0.149848150011229,89838,14.32,11.02,"24-hr flow-weighted composite",157428.571428571,"Not Significant"
"27","Utility2",2024-10-10,6.42249827516151,-0.00554482107018878,0.0642823436561289,0.260869565217391,-0.377293005903945,89838,14.32,11.29,"24-hr flow-weighted composite",161285.714285714,"Not Significant"
