"","wwtp_name","sample_id","sample_collect_date","flu_pcr_target","flu_pcr_target_avg_conc","h5_pcr_target_avg_conc","h5_detected","h3_pcr_target_avg_conc","h3_detected","h1_pcr_target_avg_conc","h1_detected"
"1","Utility1","UA20240930","2024-09-30","Inf_A-MP","1305364","600","Not Detected","600","Not Detected","600","Not Detected"
"2","Utility1",NA,"2024-10-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"3","Utility1",NA,"2024-10-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"4","Utility1","UA20241003","2024-10-03","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"5","Utility1",NA,"2024-10-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"6","Utility1",NA,"2024-10-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"7","Utility1",NA,"2024-10-06","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"8","Utility1",NA,"2024-10-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"9","Utility1",NA,"2024-10-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"10","Utility1",NA,"2024-10-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"11","Utility1",NA,"2024-10-10","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"12","Utility1",NA,"2024-10-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"13","Utility1",NA,"2024-10-12","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"14","Utility1",NA,"2024-10-13","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"15","Utility1","UA20241014","2024-10-14","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"16","Utility1",NA,"2024-10-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"17","Utility1",NA,"2024-10-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"18","Utility1","UA20241017","2024-10-17","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"19","Utility1",NA,"2024-10-18","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"20","Utility1",NA,"2024-10-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"21","Utility1",NA,"2024-10-20","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"22","Utility1","UA20241021","2024-10-21","Inf_A-MP","1255967","600","Not Detected","600","Not Detected","600","Not Detected"
"23","Utility1",NA,"2024-10-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"24","Utility1",NA,"2024-10-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"25","Utility1","UA20241024","2024-10-24","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"26","Utility1",NA,"2024-10-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"27","Utility1",NA,"2024-10-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"28","Utility1",NA,"2024-10-27","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"29","Utility1","UA20241028","2024-10-28","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"30","Utility1",NA,"2024-10-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"31","Utility1",NA,"2024-10-30","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"32","Utility1","UA20241031","2024-10-31","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"33","Utility1",NA,"2024-11-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"34","Utility1",NA,"2024-11-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"35","Utility1",NA,"2024-11-03","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"36","Utility1","UA20241104","2024-11-04","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"37","Utility1",NA,"2024-11-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"38","Utility1",NA,"2024-11-06","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"39","Utility1","UA20241107","2024-11-07","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"40","Utility1",NA,"2024-11-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"41","Utility1",NA,"2024-11-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"42","Utility1",NA,"2024-11-10","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"43","Utility1",NA,"2024-11-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"44","Utility1","UA20241112","2024-11-12","Inf_A-MP","1181210","600","Not Detected","600","Not Detected","600","Not Detected"
"45","Utility1",NA,"2024-11-13","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"46","Utility1","UA20241114","2024-11-14","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"47","Utility1",NA,"2024-11-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"48","Utility1",NA,"2024-11-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"49","Utility1",NA,"2024-11-17","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"50","Utility1","UA20241118","2024-11-18","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"51","Utility1",NA,"2024-11-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"52","Utility1",NA,"2024-11-20","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"53","Utility1","UA20241121","2024-11-21","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"54","Utility1",NA,"2024-11-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"55","Utility1",NA,"2024-11-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"56","Utility1",NA,"2024-11-24","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"57","Utility1","UA20241125","2024-11-25","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"58","Utility1",NA,"2024-11-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"59","Utility1",NA,"2024-11-27","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"60","Utility1",NA,"2024-11-28","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"61","Utility1",NA,"2024-11-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"62","Utility1",NA,"2024-11-30","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"63","Utility1",NA,"2024-12-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"64","Utility1","UA20241202","2024-12-02","Inf_A-MP","6135037","600","Not Detected","600","Not Detected","600","Not Detected"
"65","Utility1",NA,"2024-12-03","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"66","Utility1",NA,"2024-12-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"67","Utility1","UA20241205","2024-12-05","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"68","Utility1",NA,"2024-12-06","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"69","Utility1",NA,"2024-12-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"70","Utility1",NA,"2024-12-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"71","Utility1","UA20241209","2024-12-09","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"72","Utility1",NA,"2024-12-10","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"73","Utility1",NA,"2024-12-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"74","Utility1","UA20241212","2024-12-12","Inf_A-MP","788017","600","Not Detected","1819026","Detected","5991473","Detected"
"75","Utility1",NA,"2024-12-13","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"76","Utility1",NA,"2024-12-14","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"77","Utility1",NA,"2024-12-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"78","Utility1","UA20241216","2024-12-16","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"79","Utility1",NA,"2024-12-17","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"80","Utility1",NA,"2024-12-18","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"81","Utility1","UA20241219","2024-12-19","Inf_A-MP","6331378","600","Not Detected","600","Not Detected","600","Not Detected"
"82","Utility1",NA,"2024-12-20","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"83","Utility1",NA,"2024-12-21","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"84","Utility1",NA,"2024-12-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"85","Utility1",NA,"2024-12-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"86","Utility1",NA,"2024-12-24","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"87","Utility1",NA,"2024-12-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"88","Utility1","UA20241226","2024-12-26","Inf_A-MP","6284538","600","Not Detected","600","Not Detected","600","Not Detected"
"89","Utility1",NA,"2024-12-27","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"90","Utility1",NA,"2024-12-28","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"91","Utility1",NA,"2024-12-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"92","Utility1","UA20241230","2024-12-30","Inf_A-MP","61835","600","Not Detected","3093651","Detected","923719","Detected"
"93","Utility1",NA,"2024-12-31","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"94","Utility1",NA,"2025-01-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"95","Utility1","UA20250102","2025-01-02","Inf_A-MP","1992768","600","Not Detected","2938908","Detected","600","Not Detected"
"96","Utility1",NA,"2025-01-03","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"97","Utility1",NA,"2025-01-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"98","Utility1",NA,"2025-01-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"99","Utility1","UA20250106","2025-01-06","Inf_A-MP","996732","600","Not Detected","4815613","Detected","2392043","Detected"
"100","Utility1",NA,"2025-01-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"101","Utility1",NA,"2025-01-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"102","Utility1","UA20250109","2025-01-09","Inf_A-MP","4085581","600","Not Detected","2596399","Detected","1402184","Detected"
"103","Utility1",NA,"2025-01-10","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"104","Utility1",NA,"2025-01-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"105","Utility1",NA,"2025-01-12","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"106","Utility1","UA20250113","2025-01-13","Inf_A-MP","4621779","600","Not Detected","5430530","Detected","1910792","Detected"
"107","Utility1",NA,"2025-01-14","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"108","Utility1",NA,"2025-01-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"109","Utility1","UA20250116","2025-01-16","Inf_A-MP","7413165","600","Not Detected","600","Not Detected","4223753","Detected"
"110","Utility1",NA,"2025-01-17","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"111","Utility1",NA,"2025-01-18","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"112","Utility1",NA,"2025-01-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"113","Utility1",NA,"2025-01-20","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"114","Utility1","UA20250121","2025-01-21","Inf_A-MP","6117292","600","Not Detected","5297930","Detected","4085849","Detected"
"115","Utility1",NA,"2025-01-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"116","Utility1","UA20250123","2025-01-23","Inf_A-MP","831337","600","Not Detected","6861335","Detected","238974","Detected"
"117","Utility1",NA,"2025-01-24","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"118","Utility1",NA,"2025-01-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"119","Utility1",NA,"2025-01-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"120","Utility1","UA20250127","2025-01-27","Inf_A-MP","5603161","600","Not Detected","3383059","Detected","161548","Detected"
"121","Utility1",NA,"2025-01-28","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"122","Utility1",NA,"2025-01-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"123","Utility1","UA20250130","2025-01-30","Inf_A-MP","25707","600","Not Detected","1122373","Detected","7049869","Detected"
"124","Utility1",NA,"2025-01-31","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"125","Utility1",NA,"2025-02-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"126","Utility1",NA,"2025-02-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"127","Utility1",NA,"2025-02-03","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"128","Utility1",NA,"2025-02-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"129","Utility1",NA,"2025-02-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"130","Utility1","UA20250206","2025-02-06","Inf_A-MP","1726164","600","Not Detected","600","Not Detected","1376076","Detected"
"131","Utility1",NA,"2025-02-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"132","Utility1",NA,"2025-02-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"133","Utility1",NA,"2025-02-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"134","Utility1","UA20250210","2025-02-10","Inf_A-MP","1479978","600","Not Detected","5285410","Detected","4272840","Detected"
"135","Utility1",NA,"2025-02-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"136","Utility1",NA,"2025-02-12","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"137","Utility1","UA20250213","2025-02-13","Inf_A-MP","5807295","600","Not Detected","3353450","Detected","2400378","Detected"
"138","Utility1",NA,"2025-02-14","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"139","Utility1",NA,"2025-02-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"140","Utility1",NA,"2025-02-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"141","Utility1",NA,"2025-02-17","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"142","Utility1","UA20250218","2025-02-18","Inf_A-MP","4406600","600","Not Detected","3708481","Detected","5303540","Detected"
"143","Utility1",NA,"2025-02-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"144","Utility1","UA20250220","2025-02-20","Inf_A-MP","6389531","600","Not Detected","600","Not Detected","2059916","Detected"
"145","Utility1",NA,"2025-02-21","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"146","Utility1",NA,"2025-02-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"147","Utility1",NA,"2025-02-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"148","Utility1","UA20250224","2025-02-24","Inf_A-MP","3540151","600","Not Detected","600","Not Detected","600","Not Detected"
"149","Utility1",NA,"2025-02-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"150","Utility1",NA,"2025-02-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"151","Utility1","UA20250227","2025-02-27","Inf_A-MP","1855702","600","Not Detected","600","Not Detected","6408521","Detected"
"152","Utility1",NA,"2025-02-28","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"153","Utility1",NA,"2025-03-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"154","Utility1",NA,"2025-03-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"155","Utility1","UA20250303","2025-03-03","Inf_A-MP","6387679","600","Not Detected","600","Not Detected","600","Not Detected"
"156","Utility1",NA,"2025-03-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"157","Utility1",NA,"2025-03-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"158","Utility1","UA20250306","2025-03-06","Inf_A-MP","1349079","600","Not Detected","156680","Detected","600","Not Detected"
"159","Utility1",NA,"2025-03-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"160","Utility1",NA,"2025-03-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"161","Utility1",NA,"2025-03-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"162","Utility1","UA20250310","2025-03-10","Inf_A-MP","2818594","600","Not Detected","600","Not Detected","600","Not Detected"
"163","Utility1",NA,"2025-03-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"164","Utility1",NA,"2025-03-12","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"165","Utility1","UA20250313","2025-03-13","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"166","Utility1",NA,"2025-03-14","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"167","Utility1",NA,"2025-03-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"168","Utility1",NA,"2025-03-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"169","Utility1","UA20250317","2025-03-17","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"170","Utility1",NA,"2025-03-18","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"171","Utility1",NA,"2025-03-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"172","Utility1","UA20250320","2025-03-20","Inf_A-MP","4612978","600","Not Detected","600","Not Detected","3779069","Detected"
"173","Utility1",NA,"2025-03-21","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"174","Utility1",NA,"2025-03-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"175","Utility1",NA,"2025-03-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"176","Utility1","UA20250324","2025-03-24","Inf_A-MP","2663895","600","Not Detected","600","Not Detected","600","Not Detected"
"177","Utility1",NA,"2025-03-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"178","Utility1",NA,"2025-03-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"179","Utility1","UA20250327","2025-03-27","Inf_A-MP","891056","600","Not Detected","600","Not Detected","600","Not Detected"
"180","Utility1",NA,"2025-03-28","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"181","Utility1",NA,"2025-03-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"182","Utility1",NA,"2025-03-30","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"183","Utility1","UA20250331","2025-03-31","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"184","Utility1",NA,"2025-04-01","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"185","Utility1",NA,"2025-04-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"186","Utility1","UA20250403","2025-04-03","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"187","Utility1",NA,"2025-04-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"188","Utility1",NA,"2025-04-05","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"189","Utility1",NA,"2025-04-06","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"190","Utility1","UA20250407","2025-04-07","Inf_A-MP","5635873","600","Not Detected","600","Not Detected","600","Not Detected"
"191","Utility1",NA,"2025-04-08","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"192","Utility1",NA,"2025-04-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"193","Utility1","UA20250410","2025-04-10","Inf_A-MP","600","600","Not Detected","600","Not Detected",NA,"Not Detected"
"194","Utility1",NA,"2025-04-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"195","Utility1",NA,"2025-04-12","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"196","Utility1",NA,"2025-04-13","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
