County,Date,Diagnosed_Flu,Diagnosed_Flu_r100Kutil,Percent_Diag_Flu,Percent_Diag_Flu_r100kutil,Diagnosed_RSV,Diagnosed_RSV_r100Kutil,Percent_Diag_RSV,Percent_Diag_RSV_r100kutil,ILI_neg_COVID,ILI_neg_COVID_r100Kutil,Percent_Diag_ILINegCOVID,Percent_Diag_ILINegCOVID_r100kutil,Total_ED_Visits,countypop
County1,2020-01-01,66,350.355664083236,4.536082474226804,24.07942708475849,22,116.78522136107867,1.5120274914089347,8.026475694919496,180,955.5154474997345,12.371134020618557,65.67116477661406,1455,18838
County1,2020-01-08,76,403.439855610999,11.838006230529595,62.841099004828514,24,127.40205966663127,3.7383177570093453,19.84455758047216,102,541.458753583183,15.887850467289718,84.33936971700668,642,18838
County1,2020-01-15,42,222.95360441660475,2.834008097165992,15.044102862119077,4,21.233676611105214,0.2699055330634278,1.4327717011541978,172,913.0480942775241,11.605937921727396,61.60918314963051,1482,18838
County1,2020-01-22,15,79.62628729164454,0.9894459102902375,5.252393620820881,1,5.308419152776303,0.06596306068601583,0.35015957472139203,30,159.2525745832891,1.978891820580475,10.504787241641761,1516,18838
County1,2020-01-29,1,5.308419152776303,0.14124293785310735,0.7497767164938282,0,0,0,0,5,26.54209576388152,0.7062146892655368,3.748883582469141,708,18838
County1,2020-02-05,9,47.77577237498673,0.6147540983606558,3.2633724299854325,3,15.92525745832891,0.20491803278688525,1.087790809995144,28,148.6357362777365,1.912568306010929,10.152714226621345,1464,18838
County1,2020-02-12,129,684.7860707081431,8.921161825726141,47.35726630070146,8,42.46735322221043,0.5532503457814661,2.936884731826447,159,844.0386452914322,10.995850622406639,58.37058404505064,1446,18838
County1,2020-02-19,45,238.87886187493362,2.922077922077922,15.511614407463222,11,58.392610680539335,0.7142857142857143,3.791727966268788,56,297.271472555473,3.6363636363636362,19.30334237373201,1540,18838
County1,2020-02-26,140,743.1786813886824,18.34862385321101,97.40218628947345,45,238.87886187493362,5.897771952817824,31.30784559304504,158,838.7302261386559,20.70773263433814,109.92532452669147,763,18838
County1,2020-03-04,0,0,0,0,0,0,0,0,14,74.31786813886825,2.0260492040520983,10.755118399257343,691,18838
