"","utility","pcr_target","measure_date","ND_flag","year_week","week_start","week","CDC_TwoWeek_Detection_Flag","CDC_FourWeek_Detections","CDC_FourWeek_Submission","FourWeek_Detection_Percent","CDC_PersistentDetection_Flag","CDC_Detection_Flag"
"1","Utility1","FLUAV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"2","Utility1","FLUAV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"3","Utility1","FLUAV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",2,4,50,"no","yes"
"4","Utility1","FLUAV",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",2,4,50,"no","yes"
"5","Utility1","FLUAV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",3,6,50,"no","yes"
"6","Utility1","FLUAV",2024-12-19,"Detection","2024-51",2024-12-16,27,"yes",3,6,50,"no","yes"
"7","Utility1","FLUAV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",4,7,57.1428571428571,"no","yes"
"8","Utility1","FLUAV",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",5,7,71.4285714285714,"no","yes"
"9","Utility1","FLUBV",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"10","Utility1","FLUBV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"11","Utility1","FLUBV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"12","Utility1","FLUBV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"13","Utility1","FLUBV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"14","Utility1","FLUBV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"15","Utility1","FLUBV",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",0,7,0,"no","no"
"16","Utility1","FLUBV",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,7,0,"no","no"
"17","Utility1","H1",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"18","Utility1","H1",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"19","Utility1","H1",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"20","Utility1","H1",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"21","Utility1","H1",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"22","Utility1","H1",2024-12-19,"No Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"23","Utility1","H1",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",1,7,14.2857142857143,"no","yes"
"24","Utility1","H1",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",2,7,28.5714285714286,"no","yes"
"25","Utility1","H3",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"26","Utility1","H3",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"27","Utility1","H3",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"28","Utility1","H3",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"29","Utility1","H3",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"30","Utility1","H3",2024-12-19,"No Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"31","Utility1","H3",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",1,7,14.2857142857143,"no","yes"
"32","Utility1","H3",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",3,7,42.8571428571429,"no","yes"
"33","Utility1","H5",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"34","Utility1","H5",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"35","Utility1","H5",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"36","Utility1","H5",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"37","Utility1","H5",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"38","Utility1","H5",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"39","Utility1","H5",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",0,7,0,"no","no"
"40","Utility1","H5",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,7,0,"no","no"
"41","Utility1","PanRSV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"42","Utility1","PanRSV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"43","Utility1","PanRSV",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",2,4,50,"no","yes"
"44","Utility1","PanRSV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"yes",2,4,50,"no","yes"
"45","Utility1","PanRSV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",2,6,33.3333333333333,"no","yes"
"46","Utility1","PanRSV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"yes",2,6,33.3333333333333,"no","yes"
"47","Utility1","PanRSV",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",2,7,28.5714285714286,"no","yes"
"48","Utility1","PanRSV",2024-12-30,"No Detection","2025-1",2024-12-30,25,"yes",2,7,28.5714285714286,"no","yes"
"49","Utility1","sars-cov-2",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"50","Utility1","sars-cov-2",2024-12-05,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"51","Utility1","sars-cov-2",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
