"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UB","2025-04-21","NoneDetected",0,"LowCoverageSample","UB20250421"
"2","UE","2025-04-21","NoneDetected",0,"LowCoverageSample","UE20250421"
"3","UA","2025-04-21","NoneDetected",0,"LowCoverageSample","UA20250421"
"4","UC","2025-04-21","NoneDetected",0,"LowCoverageSample","UC20250421"
"5","UD","2025-04-21","NoneDetected",0,"LowCoverageSample","UD20250421"
"6","UB","2025-04-24","NoneDetected",0,"LowCoverageSample","UB20250424"
"7","UE","2025-04-24","NoneDetected",0,"LowCoverageSample","UE20250424"
"8","UD","2025-04-23","NoneDetected",0,"LowCoverageSample","UD20250423"
"9","UC","2025-04-24","NoneDetected",0,"LowCoverageSample","UC20250424"
"10","UA","2025-04-24","NoneDetected",0,"LowCoverageSample","UA20250424"
