"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UB","2025-03-24","NoneDetected",0,"LowCoverageSample","UB20250324"
"2","UE","2025-03-24","NoneDetected",0,"LowCoverageSample","UE20250324"
"3","UA","2025-03-24","NoneDetected",0,"LowCoverageSample","UA20250324"
"4","UC","2025-03-24","NoneDetected",0,"LowCoverageSample","UC20250324"
"5","UD","2025-03-24","NoneDetected",0,"LowCoverageSample","UD20250324"
"6","UD","2025-03-26","NoneDetected",0,"LowCoverageSample","UD20250326"
"7","UE","2025-03-27","JN.1",0.176101838564549,"Detection","UE20250327"
"8","UE","2025-03-27","KP.1.1.3",0.0835318711931268,"Detection","UE20250327"
"9","UE","2025-03-27","KP.3",0.192722945036164,"Detection","UE20250327"
"10","UE","2025-03-27","LF.7",0.198471525942926,"Detection","UE20250327"
"11","UE","2025-03-27","LP.8.1",0.166710849768785,"Detection","UE20250327"
"12","UE","2025-03-27","XEC",0.182460969494449,"Detection","UE20250327"
"13","UB","2025-03-27","NoneDetected",0,"LowCoverageSample","UB20250327"
"14","UC","2025-03-27","NoneDetected",0,"LowCoverageSample","UC20250327"
"15","UA","2025-03-27","NoneDetected",0,"LowCoverageSample","UA20250327"
