"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UE","2025-03-31","NoneDetected",0,"LowCoverageSample","UE20250331"
"2","UB","2025-03-31","NoneDetected",0,"LowCoverageSample","UB20250331"
"3","UC","2025-03-31","NoneDetected",0,"LowCoverageSample","UC20250331"
"4","UA","2025-03-31","NoneDetected",0,"LowCoverageSample","UA20250331"
"5","UD","2025-03-31","NoneDetected",0,"LowCoverageSample","UD20250331"
"6","UB","2025-04-03","NoneDetected",0,"LowCoverageSample","UB20250403"
"7","UC","2025-04-03","NoneDetected",0,"LowCoverageSample","UC20250403"
"8","UA","2025-04-03","NoneDetected",0,"LowCoverageSample","UA20250403"
"9","UE","2025-04-03","NoneDetected",0,"LowCoverageSample","UE20250403"
"10","UD","2025-04-02","NoneDetected",0,"LowCoverageSample","UD20250402"
