"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UE","2025-05-19","NoneDetected",0,"LowCoverageSample","UE20250519"
"2","UB","2025-05-19","NoneDetected",0,"LowCoverageSample","UB20250519"
"3","UA","2025-05-19","NoneDetected",0,"LowCoverageSample","UA20250519"
"4","UC","2025-05-19","NoneDetected",0,"LowCoverageSample","UC20250519"
"5","UD","2025-05-19","NoneDetected",0,"LowCoverageSample","UD20250519"
"6","UE","2025-05-22","NoneDetected",0,"LowCoverageSample","UE20250522"
"7","UD","2025-05-21","NoneDetected",0,"LowCoverageSample","UD20250521"
"8","UB","2025-05-22","NoneDetected",0,"LowCoverageSample","UB20250522"
"9","UC","2025-05-22","NoneDetected",0,"FailedVariantCalling","UC20250522"
"10","UA","2025-05-22","NoneDetected",0,"LowCoverageSample","UA20250522"
