"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UE","2025-06-02","LF.7",0.187946817134537,"Detection","UE20250602"
"2","UE","2025-06-02","LP.8.1",0.269130567027427,"Detection","UE20250602"
"3","UE","2025-06-02","Other",0.193618836646559,"Detection","UE20250602"
"4","UE","2025-06-02","XDV.1",0.181687552644266,"Detection","UE20250602"
"5","UE","2025-06-02","XFC",0.167616226547211,"Detection","UE20250602"
"6","UC","2025-06-02","NoneDetected",0,"LowCoverageSample","UC20250602"
"7","UA","2025-06-02","KP.1.1.3",0.116571637379362,"Detection","UA20250602"
"8","UA","2025-06-02","LP.8.1",0.107290207353068,"Detection","UA20250602"
"9","UA","2025-06-02","XEC",0.366355305327093,"Detection","UA20250602"
"10","UA","2025-06-02","XFC",0.409782849940477,"Detection","UA20250602"
"11","UB","2025-06-02","JN.1",0.170309504020816,"Detection","UB20250602"
"12","UB","2025-06-02","JN.1.16",0.237312007860202,"Detection","UB20250602"
"13","UB","2025-06-02","JN.1.16.1",0.239307386487919,"Detection","UB20250602"
"14","UB","2025-06-02","XEC",0.353071101631063,"Detection","UB20250602"
"15","UD","2025-06-02","NoneDetected",0,"LowCoverageSample","UD20250602"
