"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UD","2025-06-11","NoneDetected",0,"FailedSequencing","UD20250611"
"2","UE","2025-06-12","NoneDetected",0,"LowCoverageSample","UE20250612"
"3","UC","2025-06-12","NoneDetected",0,"LowCoverageSample","UC20250612"
"4","UA","2025-06-12","NoneDetected",0,"LowCoverageSample","UA20250612"
"5","UB","2025-06-12","NoneDetected",0,"FailedSequencing","UB20250612"
"6","UB","2025-06-16","JN.1",0.0969514176440268,"Detection","UB20250616"
"7","UB","2025-06-16","JN.1.16",0.201189264102452,"Detection","UB20250616"
"8","UB","2025-06-16","LF.7",0.152482950449543,"Detection","UB20250616"
"9","UB","2025-06-16","LF.7.7.2",0.329486842833424,"Detection","UB20250616"
"10","UB","2025-06-16","LP.8.1",0.219889524970554,"Detection","UB20250616"
"11","UE","2025-06-16","NoneDetected",0,"LowCoverageSample","UE20250616"
"12","UC","2025-06-16","NoneDetected",0,"LowCoverageSample","UC20250616"
"13","UA","2025-06-16","KP.1.1.3",0.160756314220175,"Detection","UA20250616"
"14","UA","2025-06-16","NB.1.8.1",0.48408240391162,"Detection","UA20250616"
"15","UA","2025-06-16","XDV.1",0.355161281868205,"Detection","UA20250616"
