"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UA","2025-07-21","NoneDetected",0,"LowCoverageSample","UA20250721"
"2","UD","2025-07-21","NoneDetected",0,"LowCoverageSample","UD20250721"
"3","UD","2025-07-23","NoneDetected",0,"LowCoverageSample","UD20250723"
"4","UA","2025-07-24","KP.1.1",0.10415711650088,"Detection","UA20250724"
"5","UA","2025-07-24","LF.7.7.1",0.240526799593786,"Detection","UA20250724"
"6","UA","2025-07-24","LP.8.1",0.141926228078304,"Detection","UA20250724"
"7","UA","2025-07-24","NB.1.8.1",0.275400722698496,"Detection","UA20250724"
"8","UA","2025-07-24","XFG",0.237989133128535,"Detection","UA20250724"
"9","UB","2025-07-24","NoneDetected",0,"LowCoverageSample","UB20250724"
"10","UE","2025-07-24","LP.8.1",0.592438639670513,"Detection","UE20250724"
"11","UE","2025-07-24","XFG",0.407561360329487,"Detection","UE20250724"
"12","UC","2025-07-24","NoneDetected",0,"FailedVariantCalling","UC20250724"
