"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UA","2025-05-01","NoneDetected",0,"LowCoverageSample","UA20250501"
"2","UB","2025-05-05","NoneDetected",0,"LowCoverageSample","UB20250505"
"3","UA","2025-05-05","NoneDetected",0,"LowCoverageSample","UA20250505"
"4","UC","2025-05-04","NoneDetected",0,"LowCoverageSample","UC20250504"
"5","UE","2025-05-08","NoneDetected",0,"LowCoverageSample","UE20250508"
"6","UD","2025-05-07","NoneDetected",0,"LowCoverageSample","UD20250507"
"7","UB","2025-05-08","KP.1.1.3",0.320130419555451,"Detection","UB20250508"
"8","UB","2025-05-08","KP.3",0.367236274156828,"Detection","UB20250508"
"9","UB","2025-05-08","LP.8.1",0.312633306287721,"Detection","UB20250508"
"10","UC","2025-05-08","NoneDetected",0,"FailedVariantCalling","UC20250508"
"11","UA","2025-05-08","LP.8.1",0.745638174078702,"Detection","UA20250508"
"12","UA","2025-05-08","XEC",0.254361825921298,"Detection","UA20250508"
"13","UB","2025-05-12","KP.2",0.34187805879833,"Detection","UB20250512"
"14","UB","2025-05-12","LF.7",0.0737322215300772,"Detection","UB20250512"
"15","UB","2025-05-12","LF.7.2.1",0.178036610811794,"Detection","UB20250512"
"16","UB","2025-05-12","LP.8.1",0.313221320026686,"Detection","UB20250512"
"17","UB","2025-05-12","MC.19",0.0931317888331121,"Detection","UB20250512"
"18","UA","2025-05-12","NoneDetected",0,"LowCoverageSample","UA20250512"
