"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UC","2025-08-18","KP.1.1.3",0.256717755212237,"Detection","UC20250818"
"2","UC","2025-08-18","LP.8.1",0.0615957744706582,"Detection","UC20250818"
"3","UC","2025-08-18","Other",0.0684416823595992,"Detection","UC20250818"
"4","UC","2025-08-18","XFG",0.0858215270099434,"Detection","UC20250818"
"5","UC","2025-08-18","KP.1.1.3",0.115480327006554,"Detection","UC20250818"
"6","UC","2025-08-18","LP.8.1",0.117773676902089,"Detection","UC20250818"
"7","UC","2025-08-18","Other",0.0874112544677276,"Detection","UC20250818"
"8","UC","2025-08-18","XFG",0.206758002571192,"Detection","UC20250818"
"9","UE","2025-08-18","NoneDetected",0,"LowCoverageSample","UE20250818"
"10","UE","2025-08-18","NoneDetected",0,"LowCoverageSample","UE20250818"
"11","UA","2025-08-18","XFG",0.723646349447998,"Detection","UA20250818"
"12","UA","2025-08-18","XFG",0.276353650552002,"Detection","UA20250818"
"13","UB","2025-08-18","NoneDetected",0,"LowCoverageSample","UB20250818"
"14","UB","2025-08-18","NoneDetected",0,"LowCoverageSample","UB20250818"
