"","site_id","collection_date","cdc_lineage","cdc_abundance","note","sample_id"
"1","UA","2025-07-31","NoneDetected",0,"LowCoverageSample","UA20250731"
"2","UE","2025-08-04","KP.1.1",0.1057632330751,"Detection","UE20250804"
"3","UE","2025-08-04","KP.2",0.306908006602075,"Detection","UE20250804"
"4","UE","2025-08-04","LP.8.1",0.0814690515474562,"Detection","UE20250804"
"5","UE","2025-08-04","Other",0.116889728973215,"Detection","UE20250804"
"6","UE","2025-08-04","XFC",0.2185447388063,"Detection","UE20250804"
"7","UE","2025-08-04","XFG",0.170425240995852,"Detection","UE20250804"
"8","UA","2025-08-04","NoneDetected",0,"LowCoverageSample","UA20250804"
"9","UB","2025-08-04","JN.1.11.1",0.187859199147815,"Detection","UB20250804"
"10","UB","2025-08-04","KP.1.1.3",0.204239993014031,"Detection","UB20250804"
"11","UB","2025-08-04","LP.8.1",0.232102887478456,"Detection","UB20250804"
"12","UB","2025-08-04","XFG",0.375797920359698,"Detection","UB20250804"
"13","UC","2025-08-04","NoneDetected",0,"LowCoverageSample","UC20250804"
